Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
205185,"г. Витебск, ул. Билевская",,"M, V, L",,55.187139999388,30.287139861978
205200,"г. Новополоцк, ул. Комсомольская, 9",,"M, V, L",M,55.524916666667,28.65994444
205201,"г. Витебск, ул. Петруся Бровки, 13а/5",,"M, V, L",M,55.1675,30.23180556
205204,"г. Орша, ЦТП по  ул. Воз-ан-Влен",,"M, V, L","M, L",54.49234701241,30.43374189
205205,"г. Орша, ул. Мира, 78",,"M, V, L",M,54.513838888889,30.39195833
205214,"г. Витебск, ул. Петруся Бровки, 5",,"M, V, L",M,55.172222222222,30.24172222
205217,"г. Витебск, ул. Шаврова, 40",,"M, V, L",,55.21441694,30.20730584
205223,"г. Витебск, ул. Максима Горького, 145",,"M, V, L",,55.168222222222,30.12958333
205224,"г. Полоцк, ул. Ленинградская, 101",,"M, V, L",,55.500111111111,28.82211111
205225,"г. Полоцк, ул. Свердлова, 5",,"M, V, L",M,55.486055555556,28.77391667
205226,"г. Полоцк, ул. Хруцкого, 8",,"M, V, L",M,55.4975,28.748
205228,"г. Витебск, ул. Титова",,"M, V, L",,55.197861111111,30.14938889
205229,"г. Полоцк, ул. Октябрьская, д. 54",,"M, V, L",M,55.491555636842,28.779527870479
205230,"г. Орша, ул. Могилёвская, 106",,"M, V, L",M,54.486583333333,30.44125
205232,"г. Витебск, ул. П.Бровки, 35",,"M, V, L","M, L",55.152863888889,30.22625278
205237,"г. Новополоцк, район ул. Я.Коласа, 44",,"M, V, L",,55.52475,28.68138889
205261,"г. Витебск, пр. Богатырева",,"M, V, L","M, L",55.168388888889,30.26416667
205275,"г. Новополоцк, ул. Василевцы",,"M, V, L",M,55.506575,28.69285833
205279,"г. Витебск, ул. Богатырева (р-н ж/д №13)",,"M, V, L","M, L",55.166472222222,30.26880556
205283,"г. Чашники, ул. Советская, 24/2",,"M, V, L",,54.859472222222,29.16094444
205287,"г. Поставы, ул. Космонавтов,  22",,"M, V, L",M,55.116083333333,26.87794444
205294,"г. Полоцк, ул. Промышленная, 15",,"M, V, L",,55.517,28.77147222
205313,"г. Витебск, ул. Коммунистическая, д. 8",,"M, V, L",,55.200289002881,30.209333074829
205318,"г. Витебск, ул. Чкалова, 49",,"M, V, L",M,55.158694444444,30.21225
205354,"г. Поставы, ул. Зелёная",,"M, V, L",,55.119055555556,26.80913889
205368,"г. Орша, ул. Минская",,"M, V, L",,54.506469444444,30.42533056
205446,"г. Браслав, ул. Октября, 15",,"M, V, L",M,55.646438888889,27.03433056
205515,"г. Витебск, ул. Горького, д. 75",,"M, V, L",,55.177165958876,30.144894158006
205520,"г. Витебск, пр. Черняховского, 14а",,"M, V, L","M, L",55.179444444444,30.20394444
205521,"г. Поставы, ул. Юбилейная, 8",,"M, V, L",M,55.109805555556,26.86336111
205522,"г. Новополоцк, в районе ул. Молодёжная, 253 ",,"M, V, L",M,55.505819444444,28.7085
205523,"г. Полоцк, ул. Бровки, 47",,"M, V, L",M,55.47275,28.76569444
205524,"г. Новополоцк, ул. Молодежная, 148",,"M, V, L",M,55.524416666667,28.67416667
205525,"г. Полоцк, ул. Я. Купалы, д. 16",,"M, V, L",,55.496521995175,28.785764843985
205527,"г. Полоцк, ул. Пушкина, 2",,"M, V, L",M,55.483722222222,28.78380556
205528,"г. Новополоцк, ул. Молодежная, 132",,"M, V, L",,55.527255555556,28.66487222
205529,"г. Новополоцк, ул. Молодежная, 1/в",,"M, V, L",,55.544358333333,28.62095556
205531,"г.п. Шумилино, ул. 70 лет БССР, 6",,"M, V, L",M,55.290388888889,29.62683333
205540,"г. Новополоцк, ул. Я. Коласа",,"M, V, L",M,55.520636111111,28.69109444
205545,"г. Лепель, ул. Калинина, 74",,"M, V, L",M,54.881444444444,28.70225
205548,"г. Дубровно, ул. Вокзальная, 34",,"M, V, L",,54.582083333333,30.67505556
205551,"г. Витебск, пр. Строителей, 1",,"M, V, L",M,55.172566666667,30.20080278
205552,"г. Витебск, ул. Космонавтов, 10а",,"M, V, L","M, L",55.193972222222,30.1855
205553,"г. Витебск, ул. 3-я Суражская",,"M, V, L",M,55.207638888889,30.22355556
205554,"г. Витебск, пр-т Победы, 23д",,"M, V, L",M,55.165611111111,30.22139722
205556,"г. Витебск, магазин №139 Веста",,"M, V, L",,55.173944397072,30.218222155705
205558,"г. Витебск, ул. Баумана, 20",,"M, V, L","M, L",55.197708333333,30.21730278
205559,"г. Витебск, ул. Ясеневая, д. 15",,"M, V, L",,55.231083386997,30.169972092864
205560,"г. Витебск, ул. Смоленская, 8",,"M, V, L",M,55.181972222222,30.22866667
205563,"г. Витебск, ул. Чкалова, 34",,"M, V, L",M,55.167994444444,30.21226944
205565,"г. Витебск, р-н ж/д станции «Лучеса»",,"M, V, L",M,55.153944444444,30.21008333
205573,"г.п. Бешенковичи, ул. Черняховского, 1",,"M, V, L",,55.043861111111,29.47497222
205574,"г. Городок, ул. Садовая, 12",,"M, V, L",M,55.45975,29.98869444
205576,"г. Витебск, ул. Шрадера, 1",,"M, V, L",M,55.186472222222,30.20823611
205584,"г.п. Шарковщина, ул. Водопьянова, 12",,"M, V, L",,55.365111111111,27.46480556
205586,"г. Глубокое, ул. Комсомольская, 33",,"M, V, L",M,55.149341666667,27.69450833
205594,"г. Новополоцк, ул. Школьная, 7",,"M, V, L",M,55.535138888889,28.64097222
205632,"г. Орша, ул. Ленина, 214-а",,"M, V, L","M, L",54.535722222222,30.44291667
205636,"г. Орша, ул. Корначенка, 15",,"M, V, L","M, L",54.521833333333,30.37275
205637,"г. Витебск, ул. Лазо, 110",,"M, V, L",M,55.202,30.25802778
205639,"г. Орша, ул. Комсомольская, 2",,"M, V, L",M,54.511866666667,30.42153611
205970,"г. Витебск, ул. 1-я Журжевская, 18",,"M, V, L",,55.249480555556,30.25868333
205974,"г. Лепель, ул. Борисовский тракт, 146Б",,"M, V, L",,54.866830555556,28.66881111
211819,"г. Новополоцк, ул. Армейская, 2",,"M, V, L",,55.589544444,28.588213889
211862,"г. Витебск, ул. Центральная, 23",,"M, V, L",,55.293652883,30.308667526
212960,"г. Новополоцк, ул. Заречная, 8 ",,"M, V, L",,55.558388889,28.6805
237874,нп. Болбасово Административное здание Авиаремонтного завода,,"M, V, L",,54.428242252,30.284838956
300436,"д. Теребов, ул. Комсомольская, д. 1а","M, V, L",,,52.238888888889,28.9475
300461,"г. Рогачев, ул. Владимира Ленина, 142",,"M, V, L","M, L",53.098888888889,30.05611111
300464,"г. Рогачев, ул. Феликса Дзержинского, 17",,"M, V, L","M, L",53.080638888889,30.04502778
300465,"г. Жлобин, ул. Карла Маркса, 1А",,"M, V, L",M,52.913805555556,30.04363889
300466,"г. Жлобин, ул. Петровского, 17",,"M, V, L",M,52.8915,30.04036111
300467,д. Наспа ,"M, V, L",,,52.709916666667,30.344305555556
300470,"г. Гомель, ул. Советская, 170",,"M, V, L",M,52.4631,30.98490278
300471,"г. Гомель, пр-т Ленина, 1-5",,"M, V, L","M, L",52.4242,31.01259722
300472,"г. Гомель, ул. Советская, 126",,"M, V, L","M, L",52.450002777778,30.995125
300473,"г. Гомель, ул. Советская, 157",,"M, V, L","M, L",52.472797222222,30.9791
300474,"г. Гомель, пл. Привокзальная, 1",,"M, V, L","M, L",52.432,30.99248611
300476,"г. Гомель, ул. Ильича, 2",,"M, V, L",M,52.403155555556,31.02240278
300477,"г. Гомель, ул. Ильича, 331",,"M, V, L",M,52.356638888889,31.02905556
300478,"г. Гомель, ул. Космонавтов, 74",,"M, V, L",M,52.455261111111,30.95909722
300479,"г. Гомель, ул. Барыкина, д. 269",,"M, V, L",,52.423666642746,30.943666824472
300480,"г. Гомель, пр-т Речицкий, 135",,"M, V, L","M, L",52.404694444444,30.90855556
300481,"г. Гомель, ул. Бровки, 15",,"M, V, L","M, L",52.473083333333,31.02780556
300482,"г. Гомель, ул. Островского, 90",,"M, V, L","M, L",52.421416666667,30.97661111
300483,"г. Гомель, ул. Достоевского, 3",,"M, V, L",M,52.384138888889,31.02019444
300484,"г. Гомель, ул. Могилевская,16",,"M, V, L",,52.453591667,30.926480556
300485,"г. Гомель, ул. Пушкина, 6 А",,"M, V, L","M, L",52.433609995797,31.011383160323
300486,"г. Гомель, ул. Малайчука, 12",,"M, V, L",M,52.461144444444,30.99932222
300487,"г. Гомель, ул. Шоссейная, 41",,"M, V, L","M, L",52.445775,30.97376111
300488,"г. Гомель, ул. Интернациональная, 49",,"M, V, L",,52.417869444444,31.001125
300489,"г. Гомель, пр-т Октября, 27",,"M, V, L",M,52.406722222,30.958027778
300490,"г. Гомель, пр-т Октября, 48",,"M, V, L","M, L",52.406758333333,30.938275
300491,"г. Гомель, ул. Советская, 60",,"M, V, L","M, L",52.439286982935,31.00280194
300492,"г. Гомель, пр-т Речицкий, 7а",,"M, V, L",M,52.415475,30.95826667
300493,"г. Гомель, ул. Речицкая, 1а",,"M, V, L","M, L",52.423222222222,30.998475
300494,"г. Гомель, ул. Мазурова, 110",,"M, V, L","M, L",52.460272005,31.022520154
300495,"г. Гомель, ул. К.Маркса, 1",,"M, V, L",,52.431597222222,31.016975
300496,"г. Гомель, ул. Добрушская, 5Б",,"M, V, L",M,52.402944444444,31.05461111
300498,"г. Гомель, ул. 50 лет Гомсельмаша, 4а",,"M, V, L",,52.4498,30.964427778
300499,"г. Гомель, пр-т Космонавтов, 69",,"M, V, L","M, L",52.459027777778,30.95441667
300648,"г.п. Корма, ул. Гомельская, 1",,"M, V, L",,53.123361111111,30.80466667
300699,"г. Буда-Кошелево, ул. Головачева, 10",,"M, V, L","M, L",52.716952777778,30.56922222
300902,"г. Мозырь, ул. Нефтестроителей, 10",,"M, V, L","M, L",52.040416666667,29.21539167
300903,"г. Мозырь, ул. Октябрьская, 14",,"M, V, L","M, L",52.053975,29.24140833
300904,"г. Мозырь, ул. Студенческая, 12",,"M, V, L","M, L",52.049916666667,29.26111111
300905,"г. Мозырь, б-р Страконицкий, 14А",,"M, V, L","M, L",52.028555555556,29.23783333
300907,"г. Наровля, ул. Фабричная, 2",,"M, V, L",M,51.806138847951,29.497611241663
300908,"г. Ельск, ул. Ленинская, 6, пом. 1",,"M, V, L",,51.803219444444,29.15318333
300909,"г. Хойники, ул. Революционная, 1",,"M, V, L","M, L",51.90217,30.00369
300911,"г.п. Брагин, ул. Зеленая, 2",,"M, V, L",,51.7975,30.25972222
300913,"г. Речица, ул. Конева, 2",,"M, V, L",,52.370666666667,30.38447222
300914,"г. Речица, ул. Чапаева, 61а",,"M, V, L",M,52.350919444444,30.38234167
300918,"г. Речица, ул. Строителей, 4",,"M, V, L","M, L",52.37235,30.34888889
300919,"г. Калинковичи, ул. Мира, 1Б",,"M, V, L","M, L",52.126222222222,29.33777778
300922,"г. Мозырь, ул. Интернациональная, 109",,"M, V, L","M, L",52.034861111111,29.26252778
300923,"г. Петриков, ул. Гагарина, 16",,"M, V, L","M, L",52.125469444444,28.49622222
300927,"г. Житковичи, ул. К. Маркса, 23",,"M, V, L",M,52.217444444444,27.86067222
300930,"г. Мозырь, б-р Юности, 26",,"M, V, L","M, L",52.033,29.21305556
300942,"г. Светлогорск, ул. Ленина, 47в",,"M, V, L","M, L",52.634622222222,29.73515833
300943,"г. Светлогорск, мр-н Молодежный, 113",,"M, V, L","M, L",52.628305555556,29.7205
300944,"г.п. Октябрьский, ул. Советская, 59",,"M, V, L",M,52.647277777778,28.88308333
300946,"г.п. Лельчицы, ул. Советская, 55",,"M, V, L",,51.788194444444,28.32288889
300949,д. Красная Слобода,"M, V, L",,,52.554027777778,28.586833333333
300951,"г. Светлогорск, ул. Заводская, 5",,"M, V, L",,52.610513888889,29.78161389
300952,"г. Светлогорск, м-н Молодежный, 57",,"M, V, L","M, L",52.622591666667,29.72066944
300960,"г.п. Лоев, ул. Батова, 58",,"M, V, L",,51.937777777778,30.79361111
300965,"г. Ветка, ул. Батракова М.Г., 36",,"M, V, L",,52.566666666667,31.17725
300966,"г. Добруш, ул. Луначарского, 2",,"M, V, L","M, L",52.411166666667,31.31747222
300967,"п. Селище-2, Кормянский с/с","M, V, L",,,52.376,31.490055555556
300969,д. Марковичи,"M, V, L",,,52.129611111111,31.239694444444
300971,севернее р.п. Сосновый Бор,"M, V, L",,,52.521695739,29.588789759
300973,"агрогородок Завойть, ул. Советская, 118-А","M, V, L",,,51.805638888889,29.383472222222
300976,"н.п. Заширье, ул. 50 лет СССР, д. 3А","M, V, L",,,51.75725,28.717027777778
300977,"агрогордок Буйновичи, улица Первомайская, дом 3А ","M, V, L",,,51.864777777778,28.542833333333
300980,агрогордок Шерстин,"M, V, L",,,52.658555555556,31.041555555556
300992,"д. Новоселки, 3","M, V, L",,,52.358805555556,29.225305555556
300993,агрогордок Махновичи,"M, V, L",,,51.879777777778,28.788277777778
300995,"агрогордок Мелешковичи, ул. Южная, д. 47а","M, V, L",,,51.923916666667,28.990861111111
300996,"д. Мироненки, ул. Советская, 43А","M, V, L",,,52.389861111111,29.583861111111
300997,"д. Колки, д. 11а","M, V, L",,,52.419583333333,28.965277777778
300998,д. Лучицкий ,"M, V, L",,,52.441777777778,28.792888888889
301086,д. Вересница,"M, V, L",,,52.077361111111,27.623944444444
301096,"п. Красный Пахарь, ул. Заводская","M, V, L",,,53.286991666667,30.497169444444
301136,"г. Гомель, ул. Борисенко, д. 7",,"M, V, L",,52.414141,30.919797
301197,"г. Гомель, ул. Б. Хмельницкого",,"M, V, L","M, L",52.404768,30.975642
301212,"г. Гомель, вдоль Восточного обхода, в р-не бул. газеты Гомельская Правда, д. 30-42",,"M, V, L",,52.449617,31.031167
301238,"г. Жлобин, вдоль ул. Войкова, в р-не, д. 10, 22",,"M, V, L",,52.908697,30.040681
301258,"г. Гомель, вдоль ул. Денисенко",,"M, V, L",,52.39675,30.966583333333
301263,"г. Мозырь, ул. Нефтестроителей, 1а",,"M, V, L",M,52.037444444444,29.21722778
301271,"г. Мозырь, бул. Дружбы, д. 11А",,"M, V, L",M,52.030878,29.242606
301292,"г.  г. Речица, в районе ул. Пролетарская, д.118",,"M, V, L",M,52.365476,30.361456
301436,агрогордок Белая,"M, V, L",,,52.069555555556,28.914194444444
301445,"г. Калинковичи, ул. Энгельса, д. 21",,"M, V, L",,52.138421,29.337685
301447,"г. Калинковичи, ул. 50 лет Октября, д. 83/2",,"M, V, L",M,52.123669,29.308358
301457,"г. Мозырь, ул. Советская, д. 35",,"M, V, L",,52.049373,29.268819
301471,"г. Житковичи, ул. Приозёрная, д. 33",,"M, V, L",,52.202951,27.865718
301477,"г. Гомель, пер. ул. Мележа и 60 лет СССР",,"M, V, L",,52.407486,30.987367
301478,"г. Мозырь, пер. Швейный, д. 2",,"M, V, L",,52.05113,29.243053
301500,д. Гдень,"M, V, L",,,51.339527777778,30.436111111111
301538,"п. Старушки, дом 28, ул. Железнодорожная","M, V, L",,,52.252761111111,28.145769444444
301651,"г. Мозырь, бул. Юности, в р-не д. 129, 131",,"M, V, L",M,52.024722,29.206306
301695,"г. Мозырь, бул. Юности, в р-не, д. 79,81",,"M, V, L",M,52.027444,29.214556
301700,д. Нижние Жары,,"M, V, L",,51.294927777778,30.56855
301704,"Петриковский р-н, д. Слобода",,"M, V, L",,52.189091666667,28.496633333333
301900,"г. Добруш, ул. Гомельская, д. 51",,"M, V, L",,52.383883,31.338333
301901,"г. Мозырь, ОАО «Мозырьсоль»",,"M, V, L",,52.004361111111,29.21622222
302066,"г. Мозырь, ул. Нефтестроителей, д. 26",,"M, V, L",M,52.03975,29.206694
302438,агрогордок Дворец,"M, V, L",,,53.098027777778,29.728138888889
302465,"г. Жлобин, Микрорайон-16, 7",,"M, V, L",M,52.903916666667,30.04052778
302466,д. Солоное,,"M, V, L",M,52.850388888889,30.00797222
302468,д. Красная Слобода,"M, V, L",,,52.978055555556,29.8345
302470,"г. Гомель, ул. Юбилейная, 52",,"M, V, L",,52.451961111111,31.00853889
302471,"г. Гомель, ул. Жарковского, 24а",,"M, V, L","M, L",52.428848058168,31.00256608
302472,"г. Гомель, ул. Бочкина, 182а",,"M, V, L","M, L",52.427236111111,30.95378611
302474,"г. Гомель, ул. Телегина, д. 23",,"M, V, L","M, L",52.442862006972,30.991808906443
302476,"г. Гомель, ул. Барыкина, 240",,"M, V, L",,52.424161111111,30.91453611
302477,"г. Гомель, ул. Лепешинского, 1",,"M, V, L",M,52.474377777778,31.00053611
302478,"г. Гомель, ул. 8-я иногородняя, д. 3",,"M, V, L",,52.443604010052,30.941572027567
302479,"г. Гомель, ул. Огаренко, 3",,"M, V, L","M, L",52.477027777778,31.02472222
302480,"г. Гомель, ул. Севастопольская, 45",,"M, V, L",,52.39224962,31.02686825
302482,"г. Гомель, пр-т Октября, 1",,"M, V, L",M,52.410413888889,30.97126389
302483,"г. Гомель, ул. Ефремова, 61",,"M, V, L","M, L",52.460511111111,30.96727778
302485,"г. Гомель, ул. Косарева, 11",,"M, V, L",,52.40909599763,30.921165071233
302486,"г. Гомель, ул. Медицинская, 6",,"M, V, L",,52.396422222222,30.90279444
302487,"г. Гомель, ул. Мазурова, д. 12а",,"M, V, L",,52.447939064981,31.019469137433
302488,"г. Гомель, ул. Братьев Лизюковых, 5",,"M, V, L","M, L",52.401908333333,30.95242778
302489,"г. Гомель, ул. Аграрная, д. 2",,"M, V, L",,52.489401004841,30.972017196104
302490,"г. Гомель, ул. Украинская, 8",,"M, V, L",M,52.426777777778,30.99022222
302491,"г. Гомель, ул. Минская, 10",,"M, V, L","M, L",52.436508333333,30.95842778
302492,"г. Гомель, ул. Богданова, 12, к. 2",,"M, V, L","M, L",52.454527777778,30.97272222
302493,"г. Гомель, пр-т Октября, 56",,"M, V, L","M, L",52.406219444444,30.93155833
302494,"г. Гомель, ул. Химзаводская, 10а",,"M, V, L",,52.433194444,30.877388889
302495,"г. Гомель, пр-т Октября, 38",,"M, V, L","M, L",52.406647222222,30.94883056
302496,"г. Гомель, ул. Ильича, 98а",,"M, V, L",M,52.38247811,31.03033105
302497,"г. Гомель, 8-й пер. Ильича, 5",,"M, V, L","M, L",52.368233333333,31.02750278
302695,д. Новые Журавичи,"M, V, L",,,53.230027777778,30.578972222222
302699,д. Гадиловичи,"M, V, L",,,53.072472222222,30.278833333333
302900,"г. Мозырь, ул. Пролетарская, 8",,"M, V, L",,52.052361111111,29.25363889
302901,"г. Мозырь, ул. Юрия Гагарина, 50а",,"M, V, L",M,52.028166666667,29.21983889
302902,"г. Мозырь, ул. Пролетарская, 77",,"M, V, L",M,52.047205555556,29.24012222
302903,"г. Мозырь, 1-й пер. Малинина, 1",,"M, V, L","M, L",52.036966666667,29.19273333
302904,"г. Мозырь, ул. Янки Купалы, 26а",,"M, V, L",M,52.040111111111,29.27691667
302905,"г. Калинковичи, ул. 50 лет Октября, 24",,"M, V, L",M,52.125944444444,29.31797222
302906,"г. Мозырь, ул. В. Хоружей, 16Б",,"M, V, L",M,52.087958333333,29.22885278
302907,"г. Калинковичи, ул. Князева, 4",,"M, V, L",M,52.132527777778,29.34288889
302908,"г. Мозырь, ул. Крупской, 12",,"M, V, L",M,52.044619444444,29.24820833
302909,"г. Мозырь, ул. Ульяновская, 22-37",,"M, V, L",M,52.035575,29.23814722
302910,"г. Мозырь, ул. Социалистическая, 120А",,"M, V, L",M,52.078166666667,29.19986111
302911,"г. Мозырь, б-р Дружбы, 16-а",,"M, V, L",M,52.029194444444,29.24561111
302914,"г.  Речица, ул. Молодежная, 7",,"M, V, L",,52.352692052,30.413229849
302915,"г. Речица, ул. Советская, 192",,"M, V, L","M, L",52.361916666667,30.41308333
302929,"г. Мозырь, бул. Юности, 39б",,"M, V, L",M,52.031944444444,29.22319444
302944,д. Романищи,"M, V, L",,,52.741583333333,29.161138888889
302949,д. Борки,"M, V, L",,,52.44825,28.4925
302962,д. Залесье,"M, V, L",,,52.892805555556,30.996666666667
302963,д. Рытов,"M, V, L",,,51.754583333333,30.474361111111
302964,"г. Мозырь, РУП Мозырский комбинат Этанол",,"M, V, L",,51.913139052,29.29833288
302966,"г. Добруш, ул. Лесная, 8",,"M, V, L",,52.400972222222,31.33691667
302971,д. Шкава,"M, V, L",,,52.712527777778,28.997861111111
302973,агрогородок Буда Головчицкая,"M, V, L",,,51.747861111111,29.298694444444
302974,"д. Гажин, 67","M, V, L",,,51.658166666667,29.209527777778
302976,"г. Светлогорск, ул. Авиационная, 72",,"M, V, L",,52.638444423,29.719305693
302977,"г. Речица, ул. Советская, 80",,"M, V, L","M, L",52.367433333333,30.39482778
302988,д. Высокое,"M, V, L",,,51.830944444444,30.032166666667
302989,д. Хоменки,"M, V, L",,,51.506611111111,29.363333333333
302990,агрогордок Неглюбка,"M, V, L",,,52.76225,31.525861111111
302993,д. Антоновка,"M, V, L",,,52.724111111111,29.797333333333
302997,"д. Бережцы, ул. Советская, 36В","M, V, L",,,51.994444444444,27.647027777778
303923,"Гомельская область, Петриковский р-н, г. Петриков, ул. Луначарского, д. 5",,"M, V, L",M,52.133412,28.485789
304015,"г. Мозырь, ул. Малинина, 34а",,"M, V, L",M,52.038025,29.19911111
304042,"г. Гомель, ул. Фрунзе, д. 9",,"M, V, L","M, L",52.413430556,31.005361111
304043,"г. Гомель, ул. 50 лет заводу Гомсельмаш, 16a",,"M, V, L",,52.44825,30.95941944
304047,"г. Гомель, ул. Базовая, д. 13",,"M, V, L",,52.434730556,30.912761111
304089,"г. Калинковичи, ул. 50 лет Октября, 52а",,"M, V, L",M,52.126238888889,29.30306111
304172,"г. Мозырь, ул. Котловца, 35",,"M, V, L","M, L",52.024108333333,29.24174722
304173,"г. Калинковичи, ул. Мира, 78/6",,"M, V, L",,52.124719444444,29.35275
304193,"г. Жлобин, ул. Шоссейная, 169",,"M, V, L",,52.883480555556,30.00263056
304202,"г. Гомель, ул. Урицкого, д.85а",,"M, V, L",,52.386369444,31.033330556
304205,"г. Гомель, ул. Каменщикова, д. 3",,"M, V, L",,52.468649,31.019244
304237,"г. Мозырь, Мозырь-11, Мозырский НПЗ",,"M, V, L",M,51.901061111111,29.32883056
304289,"г. Мозырь, ул. Котловца, 4",,"M, V, L",M,52.026688888889,29.22646944
304328,"г. Калинковичи, ул. Ленина, 3",,"M, V, L",M,52.129,29.33086111
304346,"д. Красное, ул. Ленина, д. 6","M, V, L",,,51.50625,30.514472222222
304348,"г. Гомель, ул. 8 Техническая, д. 2а",,"M, V, L","M, L",52.36309,31.02012
304456,"д. Игнато-Фабиановка, 37А","M, V, L",,,52.019611111111,29.459277777778
304460,"г. Жлобин, ул. Волкова, 1",,"M, V, L",,52.87225,30.02352778
304463,"г. Жлобин, ул. Матросова, 39",,"M, V, L",M,52.897305555556,30.01922222
304465,"г. Жлобин, Микрорайон-2, 16",,"M, V, L","M, L",52.902277777778,30.05686111
304468,"г. Калинковичи, ул. Октябрьская, 16-1",,"M, V, L",M,52.138611111111,29.31725
304470,"г. Гомель, ул. Ланге, 17",,"M, V, L",,52.427811111111,31.01460278
304471,"г. Гомель, ул. Интернациональная, 5",,"M, V, L",M,52.424188888889,31.00762222
304473,"г. Гомель, ул. Ландышева, 17",,"M, V, L","M, L",52.445416666667,31.00283333
304479,"г. Гомель, ул. Крестьянская, 22",,"M, V, L","M, L",52.426805587936,31.00922215
304483,"г. Гомель, ул. Сухого, 16",,"M, V, L",,52.467166666667,30.971
304484,"г. Гомель, ул. Киевская, 65",,"M, V, L",,52.434047222222,30.97643611
304487,"г. Гомель, ул. Кирова, 36",,"M, V, L","M, L",52.43375,31.00288889
304489,"г. Гомель, ул. Сосновая, 6а",,"M, V, L",M,52.413952777778,30.94384722
304494,"г. Гомель, ул. Каменщикова-Чечерская",,"M, V, L",M,52.462527777778,31.03569444
304698,д. Мотневичи,"M, V, L",,,52.896583333333,30.767333333333
304902,"г. Калинковичи, ул. 50 лет Октября, 6",,"M, V, L",M,52.125555555556,29.32972222
304903,"г. Мозырь, ул. Котловца, 9",,"M, V, L","M, L",52.030777777778,29.23431389
304904,"г. Мозырь, пл. Горького, 1",,"M, V, L",,52.044508333333,29.27235278
304905,"г. Мозырь, ул. Притыцкого, 22",,"M, V, L",M,52.036125,29.20990833
304906,"г. Мозырь, НПЗ",,"M, V, L","M, L",51.896472222222,29.30972222
304913,"г. Наровля, ул. Коммунистическая, 3",,"M, V, L",,51.797138888889,29.50816667
304919,"г. Калинковичи, ул. Куйбышева, 28",,"M, V, L","M, L",52.120597222222,29.34303611
304921,д. Дубовый Лог,"M, V, L",,,52.530194444444,31.366777777778
304927,"г. Гомель, ул. Чечерская, д. 35а",,"M, V, L",M,52.471806042568,31.04274997019
304930,"г. Мозырь, ул. Юрия Гагарина, 99",,"M, V, L",M,52.024169444444,29.2175
304936,"д. Средние Печи, ул. Октябрьская, дом 14","M, V, L",,,51.859277777778,28.193277777778
304939,д. Слабожанка,"M, V, L",,,51.913055555556,29.734916666667
304944,агрогородок Боровое,"M, V, L",,,51.715194444444,28.072083333333
304945,д. Осенское,"M, V, L",,,51.736861111111,28.251611111111
304947,п. Слобода,"M, V, L",,,51.87375,27.938527777778
304950,"г. Светлогорск, ул. Свердлова, 8",,"M, V, L",,52.623583333333,29.74691667
304953,"г. Мозырь, ул. Полесская, 28",,"M, V, L",M,52.056458333333,29.22524444
304966,"г. Добруш, пр-т Мира, 17",,"M, V, L",M,52.424527775,31.312000189
304968,"д. Марьино, ул. Октябрьская","M, V, L",,,52.475138888889,31.266888888889
304970,"п. Залозье, ул. Партизанская","M, V, L",,,53.2295,30.215277777778
304973,д. Волосовичи,"M, V, L",,,52.996111111111,31.171527777778
304975,д. Полесье,"M, V, L",,,53.08775,31.285027777778
304976,д. Буда-Софиевка,"M, V, L",,,51.861194444444,28.641222222222
304982,"г. Хойники, ул. Советская, 50а",,"M, V, L",,51.890277777778,29.96538889
304985,д. Вялье,"M, V, L",,,51.564,30.50075
304987,"д. Глиница, ул. Пролетарская","M, V, L",,,52.064722222222,28.626388888889
304988,д. Дубровица,"M, V, L",,,52.0475,30.108611111111
304989,"агрогородок Вебровичи, ул. Колхозная","M, V, L",,,51.714805555556,29.5095
304993,д. Кнышевичи,"M, V, L",,,52.769111111111,29.29525
304996,"н.п. Скородное, ул. Советская","M, V, L",,,51.627722222222,28.817972222222
305031,"г. Гомель, ул. Емельяна Барыкина, д. 132-1",,"M, V, L",,52.41968,30.96138
305045,"г.  Речица, ул. 10 лет Октября",,"M, V, L",,52.35876,30.44245
305332,"г. Гомель, ул. Мазурова, 60",,"M, V, L","M, L",52.455638888889,31.02291667
305401,"г. Светлогорск, м-н Шатилки, 7а",,"M, V, L",M,52.633777777778,29.74961111
305402,"г. Ельск, Мозырский тр-т",,"M, V, L",,51.813,29.17118889
305429,д. Беляевка,"M, V, L",,,52.959555555556,31.019694444444
305477,"г. Гомель, ул. Федюнинского, 19",,"M, V, L",,52.482555555556,30.99236111
305648,д. Ворновка,"M, V, L",,,53.0225,30.870083333333
305695,д. Староград,"M, V, L",,,53.127722222222,30.592861111111
305932,"г. Мозырь, ул. Малинина, 8",,"M, V, L","M, L",52.03,29.20497222
305940,"г. Жлобин, ул. Маркса, д. 2",,"M, V, L",,52.90794,30.04881
305943,"г. Гомель, ул. 50 лет БССР, 2",,"M, V, L",,52.454111111111,30.995
305954,"г. Жлобин, ул. Ленинградская, 5б",,"M, V, L",,52.910444432,30.033861078
305991,"г. Гомель, ул. Портовая, 14",,"M, V, L",,52.438611111111,31.01196944
306118,"г. Гомель, пр. Речицкий , 80",,"M, V, L","M, L",52.405179375,30.921182466
310644,"г. Гомель, Речицкое шоссе, 45",,"M, V, L",,52.409797222,30.935111111
310649,"г. Гомель, Достоевского, 1",,"M, V, L",,52.386875,31.022197222
